Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
A2,1,Infinity,-Infinity,Infinity
B2,2,-Infinity,-Infinity,Infinity
A3,3,Infinity,-Infinity,Infinity
B2,4,-Infinity,-Infinity,Infinity
A2,5,-Infinity,-Infinity,Infinity
A4,5,3,-Infinity,Infinity
A2,5,3,3,Infinity
A5,5,3,3,Infinity
A2,5,3,3,Infinity
A6,5,3,3,Infinity
A2,5,3,3,Infinity
B2,4,3,3,Infinity
A4,5,2,3,Infinity
B2,4,3,3,Infinity
A5,5,2,3,Infinity
B2,4,3,3,Infinity
A6,5,2,3,Infinity
B2,4,3,3,Infinity
A3,3,3,-Infinity,3
B3,4,-Infinity,-Infinity,3
A2,5,-Infinity,-Infinity,3
A3,5,3,-Infinity,3
A2,5,3,-Infinity,3
B3,4,3,-Infinity,3
A3,3,3,-Infinity,3
B4,4,-Infinity,-Infinity,3
A2,5,1,-Infinity,3
B4,4,1,1,3
A3,5,0,1,3
B4,4,1,1,3
A4,5,1,1,3
B4,4,1,1,3
A5,5,1,1,3
B4,4,1,1,3
A6,5,1,1,3
B4,4,1,1,3
A3,3,1,-Infinity,1
B5,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B5,4,1,-Infinity,1
A3,3,1,-Infinity,1
B6,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B6,4,1,-Infinity,1
A3,3,1,-Infinity,1
B2,2,1,1,Infinity
A4,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,-Infinity,1,Infinity
A3,5,3,1,Infinity
A2,5,3,3,Infinity
A5,5,3,3,Infinity
A2,5,3,3,Infinity
A6,5,3,3,Infinity
A2,5,3,3,Infinity
B2,4,3,3,Infinity
A3,5,2,3,Infinity
B2,4,3,3,Infinity
A5,5,2,3,Infinity
B2,4,3,3,Infinity
A6,5,2,3,Infinity
B2,4,3,3,Infinity
A4,3,3,1,3
B3,4,-Infinity,1,3
A2,5,-Infinity,1,3
A3,5,2,1,3
A2,5,2,2,3
A4,5,1,2,3
A2,5,2,2,3
A5,5,2,2,3
A2,5,2,2,3
A6,5,2,2,3
A2,5,2,2,3
B3,4,2,2,3
A3,5,1,2,3
B3,4,2,2,3
A4,5,0,2,3
B3,4,2,2,3
A5,5,1,2,3
B3,4,2,2,3
A6,5,1,2,3
B3,4,2,2,3
A4,3,2,1,2
B4,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,2,1,2
A2,5,2,1,2
B4,4,2,1,2
A4,3,2,1,2
B5,4,-Infinity,1,2
A2,5,1,1,2
B5,4,-Infinity,1,2
A3,5,1,1,2
B5,4,-Infinity,1,2
A4,5,0,1,2
B5,4,-Infinity,1,2
A5,5,1,1,2
B5,4,-Infinity,1,2
A6,5,1,1,2
B5,4,-Infinity,1,2
A4,3,-Infinity,1,2
B2,2,1,1,Infinity
A5,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,-Infinity,1,Infinity
A3,5,3,1,Infinity
A2,5,3,3,Infinity
A4,5,3,3,Infinity
A2,5,3,3,Infinity
A6,5,3,3,Infinity
A2,5,3,3,Infinity
B2,4,3,3,Infinity
A3,5,2,3,Infinity
B2,4,3,3,Infinity
A4,5,2,3,Infinity
B2,4,3,3,Infinity
A6,5,2,3,Infinity
B2,4,3,3,Infinity
A5,3,3,1,3
B3,4,-Infinity,1,3
A2,5,-Infinity,1,3
A3,5,2,1,3
A2,5,2,2,3
A4,5,2,2,3
A2,5,2,2,3
A5,5,1,2,3
A2,5,2,2,3
A6,5,2,2,3
A2,5,2,2,3
B3,4,2,2,3
A3,5,1,2,3
B3,4,2,2,3
A4,5,1,2,3
B3,4,2,2,3
A5,5,0,2,3
B3,4,2,2,3
A6,5,1,2,3
B3,4,2,2,3
A5,3,2,1,2
B4,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,2,1,2
A2,5,2,1,2
B4,4,2,1,2
A5,3,2,1,2
B5,4,-Infinity,1,2
A2,5,1,1,2
B5,4,-Infinity,1,2
A3,5,1,1,2
B5,4,-Infinity,1,2
A4,5,1,1,2
B5,4,-Infinity,1,2
A5,5,0,1,2
B5,4,-Infinity,1,2
A6,5,1,1,2
B5,4,-Infinity,1,2
A5,3,-Infinity,1,2
B2,2,1,1,Infinity
A6,3,Infinity,1,Infinity
B2,4,-Infinity,1,Infinity
A2,5,-Infinity,1,Infinity
A3,5,3,1,Infinity
A2,5,3,3,Infinity
A4,5,3,3,Infinity
A2,5,3,3,Infinity
A5,5,3,3,Infinity
A2,5,3,3,Infinity
B2,4,3,3,Infinity
A3,5,2,3,Infinity
B2,4,3,3,Infinity
A4,5,2,3,Infinity
B2,4,3,3,Infinity
A5,5,2,3,Infinity
B2,4,3,3,Infinity
A6,3,3,1,3
B3,4,-Infinity,1,3
A2,5,-Infinity,1,3
A3,5,2,1,3
A2,5,2,2,3
A4,5,2,2,3
A2,5,2,2,3
A5,5,2,2,3
A2,5,2,2,3
A6,5,1,2,3
A2,5,2,2,3
B3,4,2,2,3
A3,5,1,2,3
B3,4,2,2,3
A4,5,1,2,3
B3,4,2,2,3
A5,5,1,2,3
B3,4,2,2,3
A6,5,0,2,3
B3,4,2,2,3
A6,3,2,1,2
B4,4,-Infinity,1,2
A2,5,-Infinity,1,2
A3,5,2,1,2
A2,5,2,1,2
B4,4,2,1,2
A6,3,2,1,2
B5,4,-Infinity,1,2
A2,5,1,1,2
B5,4,-Infinity,1,2
A3,5,1,1,2
B5,4,-Infinity,1,2
A4,5,1,1,2
B5,4,-Infinity,1,2
A5,5,1,1,2
B5,4,-Infinity,1,2
A6,5,0,1,2
B5,4,-Infinity,1,2
A6,3,-Infinity,1,2
B2,2,1,1,Infinity
A2,1,1,-Infinity,1
B3,2,-Infinity,-Infinity,1
A3,3,Infinity,-Infinity,1
B2,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,2,-Infinity,1
A2,5,2,-Infinity,1
B2,4,2,-Infinity,1
A3,3,Infinity,-Infinity,1
B3,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,3,-Infinity,1
A2,5,3,-Infinity,1
B3,4,3,-Infinity,1
A3,3,Infinity,-Infinity,1
B4,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B4,4,1,-Infinity,1
A3,3,Infinity,-Infinity,1
B5,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B5,4,1,-Infinity,1
A3,3,Infinity,-Infinity,1
B6,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B6,4,1,-Infinity,1
A3,3,Infinity,-Infinity,1
B3,2,Infinity,-Infinity,1
A2,1,1,-Infinity,1
B4,2,-Infinity,-Infinity,1
A3,3,Infinity,-Infinity,1
B2,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,2,-Infinity,1
A2,5,2,-Infinity,1
B2,4,2,-Infinity,1
A3,3,Infinity,-Infinity,1
B3,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,2,-Infinity,1
A2,5,2,-Infinity,1
B3,4,2,-Infinity,1
A3,3,Infinity,-Infinity,1
B4,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,3,-Infinity,1
A2,5,3,-Infinity,1
B4,4,3,-Infinity,1
A3,3,Infinity,-Infinity,1
B5,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B5,4,1,-Infinity,1
A3,3,Infinity,-Infinity,1
B6,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B6,4,1,-Infinity,1
A3,3,Infinity,-Infinity,1
B4,2,Infinity,-Infinity,1
A2,1,1,-Infinity,1
B5,2,-Infinity,-Infinity,1
A3,3,Infinity,-Infinity,1
B2,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,2,-Infinity,1
A2,5,2,-Infinity,1
B2,4,2,-Infinity,1
A3,3,Infinity,-Infinity,1
B3,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,2,-Infinity,1
A2,5,2,-Infinity,1
B3,4,2,-Infinity,1
A3,3,Infinity,-Infinity,1
B4,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A3,5,9,-Infinity,1
A2,5,9,-Infinity,1
B4,4,9,-Infinity,1
A3,3,Infinity,-Infinity,1
B5,4,-Infinity,-Infinity,1
A2,5,-Infinity,-Infinity,1
A4,5,3,-Infinity,1
A2,5,3,-Infinity,1
B5,4,3,-Infinity,1
A3,3,Infinity,-Infinity,1
B6,4,-Infinity,-Infinity,1
A2,5,1,-Infinity,1
B6,4,1,-Infinity,1
A3,3,Infinity,-Infinity,1
B5,2,Infinity,-Infinity,1
