Node,Depth,Value
root,0,-Infinity
B2,1,Infinity
A2,2,-Infinity
B2,3,-1
A2,2,-1
B3,3,0
A2,2,0
B4,3,0
A2,2,0
B5,3,0
A2,2,0
B6,3,0
A2,2,0
B2,1,0
A3,2,-Infinity
B3,3,1
A3,2,1
B4,3,1
A3,2,1
B5,3,1
A3,2,1
B6,3,1
A3,2,1
B2,1,0
A4,2,-Infinity
B2,3,-1
A4,2,-1
B3,3,0
A4,2,0
B4,3,0
A4,2,0
B5,3,0
A4,2,0
B6,3,0
A4,2,0
B2,1,0
A5,2,-Infinity
B3,3,1
A5,2,1
B4,3,1
A5,2,1
B5,3,1
A5,2,1
B6,3,1
A5,2,1
B2,1,0
A6,2,Infinity
A2,2,-Infinity
B2,3,-2
A2,2,-2
B3,3,-1
A2,2,-1
B4,3,-1
A2,2,-1
B5,3,-1
A2,2,-1
B6,3,-1
A2,2,-1
A6,2,-1
A3,2,Infinity
A2,2,-Infinity
B2,3,-14
A2,2,-14
B3,3,-13
A2,2,-13
B4,3,-13
A2,2,-13
B5,3,-13
A2,2,-13
A3,2,-13
A4,2,-Infinity
B2,3,-3
A4,2,-3
B3,3,-2
A4,2,-2
B4,3,-2
A4,2,-2
B5,3,-2
A4,2,-2
B6,3,-2
A4,2,-2
A3,2,-13
A5,2,-Infinity
B3,3,-1
A5,2,-1
B4,3,-1
A5,2,-1
B5,3,-1
A5,2,-1
B6,3,-1
A5,2,-1
A3,2,-13
A6,2,-13
A4,2,-Infinity
B2,3,-2
A4,2,-2
B3,3,-1
A4,2,-1
B4,3,-1
A4,2,-1
B5,3,-1
A4,2,-1
B6,3,-1
A4,2,-1
A6,2,-13
A5,2,-Infinity
B3,3,0
A5,2,0
B4,3,0
A5,2,0
B5,3,0
A5,2,0
B6,3,0
A5,2,0
A6,2,-13
B2,1,-13
root,0,-13
B3,1,Infinity
A2,2,-Infinity
B2,3,-Infinity
B3,3,1
B2,3,1
B4,3,2
B2,3,2
B5,3,4
B2,3,4
B6,3,2
B2,3,4
A2,2,4
B3,3,0
A2,2,4
B4,3,1
A2,2,4
B5,3,1
A2,2,4
B6,3,1
A2,2,4
B3,1,4
A3,2,-Infinity
B2,3,1
A3,2,1
B4,3,2
A3,2,2
B5,3,2
A3,2,2
B6,3,2
A3,2,2
B3,1,2
A4,2,-Infinity
B2,3,-Infinity
B3,3,1
B2,3,1
B4,3,2
